7:## 2026-09-25 验收继续执行
13:| W0 | 上游生产单、运行任务及有效分配按记录迁移，同数据库CAS保护票/交出 | production-context-records.ts、production-orders.ts、runtime-process-tasks.ts、effective-task-assignments.ts、对应保存入口 | 禁用旧存储/中断/冲突/失败/刷新/备份恢复，读写不依赖旧键 |
14:| W1/W4 | 真实分配改派、多任务/面料、角色、自行裁剪边界 | 原来源和交出模块及实际页面 | 正常和阻断场景均重放，不以直接调用代替可见入口 |
15:| W2/W3/W5 | 票/袋/历史/打印各端完整回归 | 已列明页面及PDA/打印入口 | 命名路径、图片、尺寸与异常恢复 |
16:| W6 | 冷启动缺陷和完整交互计时、矩阵闭环 | warehouse-hub.ts及直接读链；浏览器证据与92条矩阵 | 当前同版本证据，保留所有慢样本；每条逐项结论 |
18:## 当前判定
24:| W0 存储和事务 | 实施中 | 生产来源7类、部位票6旧键、裁后管理事件同库记录级事务；关联附件Blob与引用；迁移/CAS/幂等/备份 | 真实入口最终同版回归和存储禁用完整交出验证正在执行 |
25:| W1 范围和身份 | 已实现待验证 | 裁床分配派生初始票；固定 5 Yard；含朴排除；任务 SKU 用料；唯一票/增票/改派失效 | 全部真实改派、并发、资料错误和恢复场景页面证据 |
26:| W2 列表与打印 | 已实现待验证 | 标准列表、图片、选择、新增、首打/补打、部分出纸确认、HPB 标签 | 全部列偏好/多单分页、实物打印 |
27:| W3 混装与重装 | 已实现待验证 | 三类类型及单位、扫码/占用、原子重装/交出 | 全部移出重装、回收、毛织与特殊工艺回归场景 |
28:| W4 交出门禁 | 已实现待验证 | 按任务+工厂的历史与本次并集；缺票阻断；与裁片同次；直接随交 | 所有角色、改派、后续批次、新增需料的实际入口重放 |
29:| W5 各端与历史 | 已实现待验证 | Web/PDA 袋详情、历史快照、货物标签、直接交出工厂接收详情 | 全部页面尺寸/历史周期打印/接收下游核对 |
30:| W6 验证闭环 | 实施中 | 专项、浏览器、性能原始记录；92 条矩阵 | 尚未满足完整验收门禁 |
32:## 实施决策和存储登记
48:## 当前证据索引
70:## 未关闭的问题
78:## 原子需求交付矩阵
84:| SCOPE-001 | 3.1／U15 | 三方自行裁剪任务不进入本流程 | W1 | src/data/fcs/cutting/replacement-fabric-source.ts / resolveReplacementFabricRuntimeTaskContext；src/data/fcs/cutting/replacement-fabric-event-validation.ts / validateReplacementFabricEventBatch | E01；权限和三合一现场边界尚待补齐 | E02、E06；其他权限/排除场景待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
145:| HAND-011 | 10.4／D | 新增需料只补新增缺项 | W4 | src/data/fcs/cutting/replacement-fabric-event-validation.ts / validateReplacementFabricEventBatch；src/data/fcs/cutting/simple-cut-piece-handover.ts / confirmSimpleCutPieceHandover；src/pages/process-factory/cutting/wait-handover-runtime.ts | E01、E02、E06 | E02、E06；其余全任务边界待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
146:| HAND-012 | 10.4／D | 换工厂不继承旧工厂实收 | W4 | src/data/fcs/cutting/replacement-fabric-event-validation.ts / validateReplacementFabricEventBatch；src/data/fcs/cutting/simple-cut-piece-handover.ts / confirmSimpleCutPieceHandover；src/pages/process-factory/cutting/wait-handover-runtime.ts | E01、E02、E06 | E02、E06；其余全任务边界待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
147:| HAND-013 | 10.4／D | 历史缺证据不自动伪造已交 | W4 | src/data/fcs/cutting/replacement-fabric-event-validation.ts / validateReplacementFabricEventBatch；src/data/fcs/cutting/simple-cut-piece-handover.ts / confirmSimpleCutPieceHandover；src/pages/process-factory/cutting/wait-handover-runtime.ts | E01、E02、E06 | E02、E06；其余全任务边界待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
148:| HAND-014 | 10.5／U14 | 回执能回查每票任务工厂人时 | W5 | src/data/fcs/cutting/replacement-fabric-event-validation.ts / validateReplacementFabricEventBatch；src/data/fcs/cutting/simple-cut-piece-handover.ts / confirmSimpleCutPieceHandover；src/pages/process-factory/cutting/wait-handover-runtime.ts | E01、E02、E06 | E02、E06；其余全任务边界待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
149:| FACT-001 | 11.1／D | 打印装袋交出状态分别推导 | W1 | src/data/fcs/cutting/handover-orders.ts / buildRuntimeBagHandoverProjection；src/data/fcs/cutting/cutting-event-repository.ts；src/data/fcs/runtime-task-read-bridge.ts | E01；receipt-check.log（43 条） | E03、E06；完整回归待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
150:| FACT-002 | 11.2／G | 换片布不污染裁片接收和齐套数量 | W4 | src/data/fcs/cutting/handover-orders.ts / buildRuntimeBagHandoverProjection；src/data/fcs/cutting/cutting-event-repository.ts；src/data/fcs/runtime-task-read-bridge.ts | E01；receipt-check.log（43 条） | E03、E06；完整回归待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
151:| FACT-003 | 11.2／G | 保留原捆条毛织等类型行为 | W3 | src/data/fcs/cutting/handover-orders.ts / buildRuntimeBagHandoverProjection；src/data/fcs/cutting/cutting-event-repository.ts；src/data/fcs/runtime-task-read-bridge.ts | E01；receipt-check.log（43 条） | E03、E06；完整回归待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
152:| FACT-004 | 11.3／D | 未识别历史类型不猜测迁移 | W3 | src/data/fcs/cutting/handover-orders.ts / buildRuntimeBagHandoverProjection；src/data/fcs/cutting/cutting-event-repository.ts；src/data/fcs/runtime-task-read-bridge.ts | E01；receipt-check.log（43 条） | E03、E06；完整回归待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
153:| UX-001 | 12.1／G | PDA 可完成扫描核对确认主流程 | W5 | src/components/ui/mixed-bag-contents.ts；src/pages/process-factory/cutting/replacement-fabric-fei-tickets.ts；src/pages/simple-cut-piece-handover-ui.ts；src/pages/pda-handover-detail.ts | E03、E05、E06、E07 | E03、E05、E06、E07；全部失败态和各端尺寸待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
154:| UX-002 | 12.2／G | 每个款式面料具备对应真实图 | W5 | src/components/ui/mixed-bag-contents.ts；src/pages/process-factory/cutting/replacement-fabric-fei-tickets.ts；src/pages/simple-cut-piece-handover-ui.ts；src/pages/pda-handover-detail.ts | E03、E05、E06、E07 | E03、E05、E06、E07；全部失败态和各端尺寸待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
155:| UX-003 | 12.2／G | 图片失败及大图关闭行为可用 | W5 | src/components/ui/mixed-bag-contents.ts；src/pages/process-factory/cutting/replacement-fabric-fei-tickets.ts；src/pages/simple-cut-piece-handover-ui.ts；src/pages/pda-handover-detail.ts | E03、E05、E06、E07 | E03、E05、E06、E07；全部失败态和各端尺寸待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
156:| UX-004 | 12.3／G | 保存失败保留选择且可幂等重试 | W4 | src/components/ui/mixed-bag-contents.ts；src/pages/process-factory/cutting/replacement-fabric-fei-tickets.ts；src/pages/simple-cut-piece-handover-ui.ts；src/pages/pda-handover-detail.ts | E03、E05、E06、E07 | E03、E05、E06、E07；全部失败态和各端尺寸待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
157:| UX-005 | 12.4／G | 指定低分辨率无主体溢出 | W5 | src/components/ui/mixed-bag-contents.ts；src/pages/process-factory/cutting/replacement-fabric-fei-tickets.ts；src/pages/simple-cut-piece-handover-ui.ts；src/pages/pda-handover-detail.ts | E03、E05、E06、E07 | E03、E05、E06、E07；全部失败态和各端尺寸待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
158:| PERF-001 | 12.4／G | 各路由加载场景逐样本小于 500ms | W6 | src/pages/pda-cutting-context.ts；src/pages/process-factory/cutting/warehouse-hub.ts；src/pages/process-factory/cutting/marker-plan-model.ts；src/data/fcs/cutting/generated-cut-orders.ts；src/data/fcs/cutting/sewing-dispatch.ts | E09；完整入口覆盖尚未闭环 | E09；站内切换、全部交互及追加受影响路由待补 | 实施中 | 产品待验收 / aac68249+任务差异 |
159:| PERF-002 | 12.4／G | 全部适用交互逐样本小于 500ms | W6 | src/pages/pda-cutting-context.ts；src/pages/process-factory/cutting/warehouse-hub.ts；src/pages/process-factory/cutting/marker-plan-model.ts；src/data/fcs/cutting/generated-cut-orders.ts；src/data/fcs/cutting/sewing-dispatch.ts | E09；完整入口覆盖尚未闭环 | E09；站内切换、全部交互及追加受影响路由待补 | 实施中 | 产品待验收 / aac68249+任务差异 |
160:| STORE-001 | 11.4／G | 业务按记录保存到 IndexedDB | W0 | src/data/fcs/cutting/cutting-record-repository.ts；src/data/fcs/cutting/cutting-event-repository.ts；src/data/fcs/cutting/cutting-event-migration.ts；src/data/fcs/cutting/cutting-backup-file.ts；src/pages/process-factory/cutting/replacement-fabric-data-tools.ts | E10、E11；未迁移边界见问题登记 | E10、E11；全部禁用 localStorage 未通过 | 实施中 | 产品待验收 / aac68249+任务差异 |
161:| STORE-002 | 11.4／G | 普通读取不落盘种子或建票 | W0 | src/data/fcs/cutting/cutting-record-repository.ts；src/data/fcs/cutting/cutting-event-repository.ts；src/data/fcs/cutting/cutting-event-migration.ts；src/data/fcs/cutting/cutting-backup-file.ts；src/pages/process-factory/cutting/replacement-fabric-data-tools.ts | E10、E11；未迁移边界见问题登记 | E10、E11；全部禁用 localStorage 未通过 | 实施中 | 产品待验收 / aac68249+任务差异 |
162:| STORE-003 | 11.4／G | 同动作事务完成后才显示成功 | W0 | src/data/fcs/cutting/cutting-record-repository.ts；src/data/fcs/cutting/cutting-event-repository.ts；src/data/fcs/cutting/cutting-event-migration.ts；src/data/fcs/cutting/cutting-backup-file.ts；src/pages/process-factory/cutting/replacement-fabric-data-tools.ts | E10、E11；未迁移边界见问题登记 | E10、E11；全部禁用 localStorage 未通过 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
163:| STORE-004 | 11.4／G | 多标签版本冲突不静默覆盖 | W0 | src/data/fcs/cutting/cutting-record-repository.ts；src/data/fcs/cutting/cutting-event-repository.ts；src/data/fcs/cutting/cutting-event-migration.ts；src/data/fcs/cutting/cutting-backup-file.ts；src/pages/process-factory/cutting/replacement-fabric-data-tools.ts | E10、E11；未迁移边界见问题登记 | E10、E11；全部禁用 localStorage 未通过 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
164:| STORE-005 | 11.4／G | 下游直达独立读持久记录 | W0 | src/data/fcs/cutting/cutting-record-repository.ts；src/data/fcs/cutting/cutting-event-repository.ts；src/data/fcs/cutting/cutting-event-migration.ts；src/data/fcs/cutting/cutting-backup-file.ts；src/pages/process-factory/cutting/replacement-fabric-data-tools.ts | E10、E11；未迁移边界见问题登记 | E10、E11；全部禁用 localStorage 未通过 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
165:| STORE-006 | 11.4／G | localStorage 失败不影响已迁移业务 | W0 | src/data/fcs/cutting/cutting-record-repository.ts；src/data/fcs/cutting/cutting-event-repository.ts；src/data/fcs/cutting/cutting-event-migration.ts；src/data/fcs/cutting/cutting-backup-file.ts；src/pages/process-factory/cutting/replacement-fabric-data-tools.ts | E10、E11；未迁移边界见问题登记 | E10、E11；全部禁用 localStorage 未通过 | 实施中 | 产品待验收 / aac68249+任务差异 |
166:| STORE-007 | 11.4／G | IndexedDB 失败不回退旧业务存储 | W0 | src/data/fcs/cutting/cutting-record-repository.ts；src/data/fcs/cutting/cutting-event-repository.ts；src/data/fcs/cutting/cutting-event-migration.ts；src/data/fcs/cutting/cutting-backup-file.ts；src/pages/process-factory/cutting/replacement-fabric-data-tools.ts | E10、E11；未迁移边界见问题登记 | E10、E11；全部禁用 localStorage 未通过 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
167:| STORE-008 | 11.4／G | 迁移中断恢复不重复不丢失 | W0 | src/data/fcs/cutting/cutting-record-repository.ts；src/data/fcs/cutting/cutting-event-repository.ts；src/data/fcs/cutting/cutting-event-migration.ts；src/data/fcs/cutting/cutting-backup-file.ts；src/pages/process-factory/cutting/replacement-fabric-data-tools.ts | E10、E11；未迁移边界见问题登记 | E10、E11；全部禁用 localStorage 未通过 | 实施中 | 产品待验收 / aac68249+任务差异 |
168:| STORE-009 | 11.4／G | 仅清理已读回验证的源项 | W0 | src/data/fcs/cutting/cutting-record-repository.ts；src/data/fcs/cutting/cutting-event-repository.ts；src/data/fcs/cutting/cutting-event-migration.ts；src/data/fcs/cutting/cutting-backup-file.ts；src/pages/process-factory/cutting/replacement-fabric-data-tools.ts | E10、E11；未迁移边界见问题登记 | E10、E11；全部禁用 localStorage 未通过 | 实施中 | 产品待验收 / aac68249+任务差异 |
169:| STORE-010 | 11.4／G | 共用旧键保留其他模块记录 | W0 | src/data/fcs/cutting/cutting-record-repository.ts；src/data/fcs/cutting/cutting-event-repository.ts；src/data/fcs/cutting/cutting-event-migration.ts；src/data/fcs/cutting/cutting-backup-file.ts；src/pages/process-factory/cutting/replacement-fabric-data-tools.ts | E10、E11；未迁移边界见问题登记 | E10、E11；全部禁用 localStorage 未通过 | 实施中 | 产品待验收 / aac68249+任务差异 |
170:| STORE-011 | 11.4／G | 旧连接升级冲突有可恢复提示 | W0 | src/data/fcs/cutting/cutting-record-repository.ts；src/data/fcs/cutting/cutting-event-repository.ts；src/data/fcs/cutting/cutting-event-migration.ts；src/data/fcs/cutting/cutting-backup-file.ts；src/pages/process-factory/cutting/replacement-fabric-data-tools.ts | E10、E11；未迁移边界见问题登记 | E10、E11；全部禁用 localStorage 未通过 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
171:| STORE-012 | 11.4／G | 完整备份可校验后恢复 | W0 | src/data/fcs/cutting/cutting-record-repository.ts；src/data/fcs/cutting/cutting-event-repository.ts；src/data/fcs/cutting/cutting-event-migration.ts；src/data/fcs/cutting/cutting-backup-file.ts；src/pages/process-factory/cutting/replacement-fabric-data-tools.ts | E10、E11；未迁移边界见问题登记 | E10、E11；全部禁用 localStorage 未通过 | 实施中 | 产品待验收 / aac68249+任务差异 |
172:| STORE-013 | 11.4／G | 附件保存原始 Blob 及引用 | W0 | production-context-records.ts、cutting-record-repository.ts、cutting-file-maintenance.ts | acceptance-storage-core/check-actions.js；acceptance-integration/check-file-lifecycle.js：内容hash/原子失败/备份缺失与损坏阻断 | 合同/样衣原入口及数据工具最终同版回归待完成 | 已实现待验证 | 代理技术核查中 / 3a3d164+本轮差异 |
173:| STORE-014 | 11.4／G | 无引用清理不误删有效附件 | W0 | cutting-file-maintenance.ts、replacement-fabric-data-tools.ts | acceptance-integration/check-file-lifecycle.js：记录和命令引用保护、确认后清理、并发新增引用阻断 | 本机数据检查/二次确认清理性能待最终同版 | 已实现待验证 | 代理技术核查中 / 3a3d164+本轮差异 |
174:| DATA-001 | 13.1／G | Mock 覆盖多角色多任务正常边界 | W6 | tests/unit/replacement-fabric-*.test.ts；output/playwright/hpb/check-batch-fresh.js、check-mixed-ui.js、check-simple-ui.js | E01—E11 | 隔离浏览器夹具，不代表真实工厂记录 | 实施中 | 产品待验收 / aac68249+任务差异 |
175:| VERIFY-001 | 13.2、14／G | 每条需求有当前实现与证据对应 | W6 | docs/product-design/换片布菲票实施追踪-2026-09-24.md；docs/prototype-review-records/2026-09-25-replacement-fabric-tickets.md | 本表正反向人工核对；闭环未完成 | 总体不能关闭 | 实施中 | 产品待验收 / aac68249+任务差异 |
177:## 双向追踪结果
183:## 2026-09-25 本轮修正
