源文档,原始行号,所属章节,行意图,对应需求ID或背景,审阅结论,问题ID,原文,审阅范围,源快照SHA256
product-design.md,129,05. 流程、状态与时序 / 05.1 全链路依赖流程,画出下单、准备、采购调拨、制造到实发关联路径｜本行：L --> Z[核算客户下单→实际发货时效],FLOW-001/002；STATE-001/006/007；MATERIAL-005/006,主路径合理；可选印染/特殊工艺缺跳过边，图与文字不一致,F09, L --> Z[核算客户下单→实际发货时效],仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,130,05. 流程、状态与时序 / 05.1 全链路依赖流程,组织文档或图表语法：,背景（结构行；所属语义见同节正文）,结构行已阅读；不独立认定业务实现通过,,```,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,132,05. 流程、状态与时序 / 05.1 全链路依赖流程,说明物料去向、可选加工及分批放行｜本行：图中加工、调拨按物料用途各自实例化，不是每种料都先到同一家厂。面料可能先到染厂再到裁厂；辅料可能直接到车缝厂或后道厂。无印染的面料从到厂直接进入,FLOW-001/002；STATE-001/005,文字规则成立；应同步修正流程图,F09,图中加工、调拨按物料用途各自实例化，不是每种料都先到同一家厂。面料可能先到染厂再到裁厂；辅料可能直接到车缝厂或后道厂。无印染的面料从到厂直接进入适用下游。全量依赖与分批放行门槛由规则决定，不能用一条全单齐套线挡住可执行的批次。,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,134,05. 流程、状态与时序 / 05.2 工作项状态与独立时效状态,组织文档或图表语法：05.2 工作项状态与独立时效状态,背景（结构行；所属语义见同节正文）,结构行已阅读；不独立认定业务实现通过,,### 05.2 工作项状态与独立时效状态,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,136,05. 流程、状态与时序 / 05.2 工作项状态与独立时效状态,组织文档或图表语法：mermaid,背景（结构行；所属语义见同节正文）,结构行已阅读；不独立认定业务实现通过,,```mermaid,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,137,05. 流程、状态与时序 / 05.2 工作项状态与独立时效状态,组织文档或图表语法：stateDiagram-v2,背景（结构行；所属语义见同节正文）,结构行已阅读；不独立认定业务实现通过,,stateDiagram-v2,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,138,05. 流程、状态与时序 / 05.2 工作项状态与独立时效状态,定义工作从待判断到执行、受阻、完成与取消｜本行：[*] --> 待判断,STATE-001/002/004/005；SHIP-010/011,缺处理中/部分完成取消出口与恢复时数量保留说明,F08, [*] --> 待判断,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,139,05. 流程、状态与时序 / 05.2 工作项状态与独立时效状态,定义工作从待判断到执行、受阻、完成与取消｜本行：待判断 --> 不适用: 确认无需此项，留依据,STATE-001/002/004/005；SHIP-010/011,缺处理中/部分完成取消出口与恢复时数量保留说明,F08, 待判断 --> 不适用: 确认无需此项，留依据,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,140,05. 流程、状态与时序 / 05.2 工作项状态与独立时效状态,定义工作从待判断到执行、受阻、完成与取消｜本行：待判断 --> 等待前置: 确认适用,STATE-001/002/004/005；SHIP-010/011,缺处理中/部分完成取消出口与恢复时数量保留说明,F08, 待判断 --> 等待前置: 确认适用,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,141,05. 流程、状态与时序 / 05.2 工作项状态与独立时效状态,定义工作从待判断到执行、受阻、完成与取消｜本行：等待前置 --> 可执行: 本批前置与数量满足,STATE-001/002/004/005；SHIP-010/011,缺处理中/部分完成取消出口与恢复时数量保留说明,F08, 等待前置 --> 可执行: 本批前置与数量满足,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,142,05. 流程、状态与时序 / 05.2 工作项状态与独立时效状态,定义工作从待判断到执行、受阻、完成与取消｜本行：可执行 --> 处理中: 有效开工事实,STATE-001/002/004/005；SHIP-010/011,缺处理中/部分完成取消出口与恢复时数量保留说明,F08, 可执行 --> 处理中: 有效开工事实,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,143,05. 流程、状态与时序 / 05.2 工作项状态与独立时效状态,定义工作从待判断到执行、受阻、完成与取消｜本行：处理中 --> 部分完成: 部分合格输出,STATE-001/002/004/005；SHIP-010/011,缺处理中/部分完成取消出口与恢复时数量保留说明,F08, 处理中 --> 部分完成: 部分合格输出,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,144,05. 流程、状态与时序 / 05.2 工作项状态与独立时效状态,定义工作从待判断到执行、受阻、完成与取消｜本行：部分完成 --> 部分完成: 新批次合格输出,STATE-001/002/004/005；SHIP-010/011,缺处理中/部分完成取消出口与恢复时数量保留说明,F08, 部分完成 --> 部分完成: 新批次合格输出,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,145,05. 流程、状态与时序 / 05.2 工作项状态与独立时效状态,定义工作从待判断到执行、受阻、完成与取消｜本行：部分完成 --> 已完成: 有效要求全部满足,STATE-001/002/004/005；SHIP-010/011,缺处理中/部分完成取消出口与恢复时数量保留说明,F08, 部分完成 --> 已完成: 有效要求全部满足,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,146,05. 流程、状态与时序 / 05.2 工作项状态与独立时效状态,定义工作从待判断到执行、受阻、完成与取消｜本行：处理中 --> 已完成: 一次完成,STATE-001/002/004/005；SHIP-010/011,缺处理中/部分完成取消出口与恢复时数量保留说明,F08, 处理中 --> 已完成: 一次完成,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,147,05. 流程、状态与时序 / 05.2 工作项状态与独立时效状态,定义工作从待判断到执行、受阻、完成与取消｜本行：处理中 --> 受阻: 结构化阻断事实,STATE-001/002/004/005；SHIP-010/011,缺处理中/部分完成取消出口与恢复时数量保留说明,F08, 处理中 --> 受阻: 结构化阻断事实,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,148,05. 流程、状态与时序 / 05.2 工作项状态与独立时效状态,定义工作从待判断到执行、受阻、完成与取消｜本行：部分完成 --> 受阻: 结构化阻断事实,STATE-001/002/004/005；SHIP-010/011,缺处理中/部分完成取消出口与恢复时数量保留说明,F08, 部分完成 --> 受阻: 结构化阻断事实,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,149,05. 流程、状态与时序 / 05.2 工作项状态与独立时效状态,定义工作从待判断到执行、受阻、完成与取消｜本行：受阻 --> 处理中: 阻断解除,STATE-001/002/004/005；SHIP-010/011,缺处理中/部分完成取消出口与恢复时数量保留说明,F08, 受阻 --> 处理中: 阻断解除,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,150,05. 流程、状态与时序 / 05.2 工作项状态与独立时效状态,定义工作从待判断到执行、受阻、完成与取消｜本行：等待前置 --> 已取消: 对应生产范围正式取消,STATE-001/002/004/005；SHIP-010/011,缺处理中/部分完成取消出口与恢复时数量保留说明,F08, 等待前置 --> 已取消: 对应生产范围正式取消,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,151,05. 流程、状态与时序 / 05.2 工作项状态与独立时效状态,定义工作从待判断到执行、受阻、完成与取消｜本行：可执行 --> 已取消: 对应生产范围正式取消,STATE-001/002/004/005；SHIP-010/011,缺处理中/部分完成取消出口与恢复时数量保留说明,F08, 可执行 --> 已取消: 对应生产范围正式取消,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,152,05. 流程、状态与时序 / 05.2 工作项状态与独立时效状态,定义工作从待判断到执行、受阻、完成与取消｜本行：受阻 --> 已取消: 对应生产范围正式取消,STATE-001/002/004/005；SHIP-010/011,缺处理中/部分完成取消出口与恢复时数量保留说明,F08, 受阻 --> 已取消: 对应生产范围正式取消,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,153,05. 流程、状态与时序 / 05.2 工作项状态与独立时效状态,组织文档或图表语法：,背景（结构行；所属语义见同节正文）,结构行已阅读；不独立认定业务实现通过,,```,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,155,05. 流程、状态与时序 / 05.2 工作项状态与独立时效状态,将业务、时效、数据三状态独立且历史超时冻结｜本行：时效轴独立：正常、临期、预计逾期、已逾期、按期完成、完成但曾逾期、无法判定。数据轴独立：齐全、更新滞后、缺关联、缺规则、冲突。业务受阻不暂停自然,STATE-002/003/004；RISK-003,条文成立；本次仅确认设计语义，当前实现需另核对,,时效轴独立：正常、临期、预计逾期、已逾期、按期完成、完成但曾逾期、无法判定。数据轴独立：齐全、更新滞后、缺关联、缺规则、冲突。业务受阻不暂停自然日；“已通知”“已催办”不改变完成数量或时效状态。已完成工作的历史超时不会因为当前时间继续前进而继续累加。,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,157,05. 流程、状态与时序 / 05.2 工作项状态与独立时效状态,定义整体任务状态及多阶段同时活跃｜本行：任务状态：方案待确认→准备／生产中→待入库／待发货→部分发货→全部发货；正式全量取消为已终止，部分减量后满足剩余范围为“范围减少后关闭”。生产过,STATE-002；SHIP-010/011；FLOW-001,任务状态规则成立；须与取消状态图补齐一致,F08,任务状态：方案待确认→准备／生产中→待入库／待发货→部分发货→全部发货；正式全量取消为已终止，部分减量后满足剩余范围为“范围减少后关闭”。生产过程中多个阶段可同时活跃，页头显示所有活跃阶段，不强制归到唯一当前阶段。,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,159,05. 流程、状态与时序 / 05.3 实际发货时才关联客户订单,组织文档或图表语法：05.3 实际发货时才关联客户订单,背景（结构行；所属语义见同节正文）,结构行已阅读；不独立认定业务实现通过,,### 05.3 实际发货时才关联客户订单,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,161,05. 流程、状态与时序 / 05.3 实际发货时才关联客户订单,组织文档或图表语法：mermaid,背景（结构行；所属语义见同节正文）,结构行已阅读；不独立认定业务实现通过,,```mermaid,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,162,05. 流程、状态与时序 / 05.3 实际发货时才关联客户订单,组织文档或图表语法：sequenceDiagram,背景（结构行；所属语义见同节正文）,结构行已阅读；不独立认定业务实现通过,,sequenceDiagram,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,163,05. 流程、状态与时序 / 05.3 实际发货时才关联客户订单,定义实发后才接收订单事实并更新任务与订单结果｜本行：participant PMS as 商品采购/生产需求,STATE-006/007；SHIP-005/008；OBJECT-008,条文成立；本次仅确认设计语义，当前实现需另核对,, participant PMS as 商品采购/生产需求,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,164,05. 流程、状态与时序 / 05.3 实际发货时才关联客户订单,定义实发后才接收订单事实并更新任务与订单结果｜本行：participant PCS as 生产准备,STATE-006/007；SHIP-005/008；OBJECT-008,条文成立；本次仅确认设计语义，当前实现需另核对,, participant PCS as 生产准备,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,165,05. 流程、状态与时序 / 05.3 实际发货时才关联客户订单,定义实发后才接收订单事实并更新任务与订单结果｜本行：participant FCS as 工厂与仓储,STATE-006/007；SHIP-005/008；OBJECT-008,条文成立；本次仅确认设计语义，当前实现需另核对,, participant FCS as 工厂与仓储,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,166,05. 流程、状态与时序 / 05.3 实际发货时才关联客户订单,定义实发后才接收订单事实并更新任务与订单结果｜本行：participant DDS as 时效监控,STATE-006/007；SHIP-005/008；OBJECT-008,条文成立；本次仅确认设计语义，当前实现需另核对,, participant DDS as 时效监控,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,167,05. 流程、状态与时序 / 05.3 实际发货时才关联客户订单,定义实发后才接收订单事实并更新任务与订单结果｜本行：participant SHIP as 发货系统,STATE-006/007；SHIP-005/008；OBJECT-008,条文成立；本次仅确认设计语义，当前实现需另核对,, participant SHIP as 发货系统,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,168,05. 流程、状态与时序 / 05.3 实际发货时才关联客户订单,定义实发后才接收订单事实并更新任务与订单结果｜本行：participant OMS as 客户订单,STATE-006/007；SHIP-005/008；OBJECT-008,条文成立；本次仅确认设计语义，当前实现需另核对,, participant OMS as 客户订单,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,169,05. 流程、状态与时序 / 05.3 实际发货时才关联客户订单,定义实发后才接收订单事实并更新任务与订单结果｜本行：PMS->>DDS: 创建任务，采购/需求单号、T0、SKU数量,STATE-006/007；SHIP-005/008；OBJECT-008,条文成立；本次仅确认设计语义，当前实现需另核对,, PMS->>DDS: 创建任务，采购/需求单号、T0、SKU数量,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,170,05. 流程、状态与时序 / 05.3 实际发货时才关联客户订单,定义实发后才接收订单事实并更新任务与订单结果｜本行：PMS->>PCS: 关联生产准备工作,STATE-006/007；SHIP-005/008；OBJECT-008,条文成立；本次仅确认设计语义，当前实现需另核对,, PMS->>PCS: 关联生产准备工作,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,171,05. 流程、状态与时序 / 05.3 实际发货时才关联客户订单,定义实发后才接收订单事实并更新任务与订单结果｜本行：PCS->>DDS: 适用结果、责任、任务和资料事件,STATE-006/007；SHIP-005/008；OBJECT-008,条文成立；本次仅确认设计语义，当前实现需另核对,, PCS->>DDS: 适用结果、责任、任务和资料事件,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,172,05. 流程、状态与时序 / 05.3 实际发货时才关联客户订单,定义实发后才接收订单事实并更新任务与订单结果｜本行：FCS->>DDS: 采购/调拨/加工/接收/质检数量与时间,STATE-006/007；SHIP-005/008；OBJECT-008,条文成立；本次仅确认设计语义，当前实现需另核对,, FCS->>DDS: 采购/调拨/加工/接收/质检数量与时间,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,173,05. 流程、状态与时序 / 05.3 实际发货时才关联客户订单,定义实发后才接收订单事实并更新任务与订单结果｜本行：DDS->>DDS: 按已知路线计算标准、当前进度和整体预测,STATE-006/007；SHIP-005/008；OBJECT-008,条文成立；本次仅确认设计语义，当前实现需另核对,, DDS->>DDS: 按已知路线计算标准、当前进度和整体预测,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,174,05. 流程、状态与时序 / 05.3 实际发货时才关联客户订单,"定义实发后才接收订单事实并更新任务与订单结果｜本行：Note over DDS,OMS: 此时没有本任务的确定客户订单集合",STATE-006/007；SHIP-005/008；OBJECT-008,条文成立；本次仅确认设计语义，当前实现需另核对,," Note over DDS,OMS: 此时没有本任务的确定客户订单集合",仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,175,05. 流程、状态与时序 / 05.3 实际发货时才关联客户订单,定义实发后才接收订单事实并更新任务与订单结果｜本行：SHIP->>OMS: 实际发货确认对应订单行和数量,STATE-006/007；SHIP-005/008；OBJECT-008,条文成立；本次仅确认设计语义，当前实现需另核对,, SHIP->>OMS: 实际发货确认对应订单行和数量,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,176,05. 流程、状态与时序 / 05.3 实际发货时才关联客户订单,定义实发后才接收订单事实并更新任务与订单结果｜本行：SHIP->>DDS: 发货事实及生产来源批次分配,STATE-006/007；SHIP-005/008；OBJECT-008,条文成立；本次仅确认设计语义，当前实现需另核对,, SHIP->>DDS: 发货事实及生产来源批次分配,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,177,05. 流程、状态与时序 / 05.3 实际发货时才关联客户订单,定义实发后才接收订单事实并更新任务与订单结果｜本行：OMS->>DDS: 本次订单下单时间、时效规则快照,STATE-006/007；SHIP-005/008；OBJECT-008,条文成立；本次仅确认设计语义，当前实现需另核对,, OMS->>DDS: 本次订单下单时间、时效规则快照,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,178,05. 流程、状态与时序 / 05.3 实际发货时才关联客户订单,定义实发后才接收订单事实并更新任务与订单结果｜本行：DDS->>DDS: 更新任务已发数量；逐订单核算实际时效,STATE-006/007；SHIP-005/008；OBJECT-008,条文成立；本次仅确认设计语义，当前实现需另核对,, DDS->>DDS: 更新任务已发数量；逐订单核算实际时效,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,179,05. 流程、状态与时序 / 05.3 实际发货时才关联客户订单,定义实发后才接收订单事实并更新任务与订单结果｜本行：Note over DDS: 生产任务按期，不代表本次客户订单全部按期,STATE-006/007；SHIP-005/008；OBJECT-008,条文成立；本次仅确认设计语义，当前实现需另核对,, Note over DDS: 生产任务按期，不代表本次客户订单全部按期,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,180,05. 流程、状态与时序 / 05.3 实际发货时才关联客户订单,组织文档或图表语法：,背景（结构行；所属语义见同节正文）,结构行已阅读；不独立认定业务实现通过,,```,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,182,05. 流程、状态与时序 / 05.4 采购、入库与调拨时序,组织文档或图表语法：05.4 采购、入库与调拨时序,背景（结构行；所属语义见同节正文）,结构行已阅读；不独立认定业务实现通过,,### 05.4 采购、入库与调拨时序,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,184,05. 流程、状态与时序 / 05.4 采购、入库与调拨时序,组织文档或图表语法：mermaid,背景（结构行；所属语义见同节正文）,结构行已阅读；不独立认定业务实现通过,,```mermaid,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,185,05. 流程、状态与时序 / 05.4 采购、入库与调拨时序,组织文档或图表语法：sequenceDiagram,背景（结构行；所属语义见同节正文）,结构行已阅读；不独立认定业务实现通过,,sequenceDiagram,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,186,05. 流程、状态与时序 / 05.4 采购、入库与调拨时序,定义不足采购/足够现货共用入库后调拨及工厂实收｜本行：participant D as 面辅料需求,MATERIAL-005/006/009/011；ACT-S03-12/13,时序区分交付实收正确；主例组合项需保持同样责任分段,F04, participant D as 面辅料需求,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,187,05. 流程、状态与时序 / 05.4 采购、入库与调拨时序,定义不足采购/足够现货共用入库后调拨及工厂实收｜本行：participant P as 采购,MATERIAL-005/006/009/011；ACT-S03-12/13,时序区分交付实收正确；主例组合项需保持同样责任分段,F04, participant P as 采购,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,188,05. 流程、状态与时序 / 05.4 采购、入库与调拨时序,定义不足采购/足够现货共用入库后调拨及工厂实收｜本行：participant W as 仓库,MATERIAL-005/006/009/011；ACT-S03-12/13,时序区分交付实收正确；主例组合项需保持同样责任分段,F04, participant W as 仓库,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,189,05. 流程、状态与时序 / 05.4 采购、入库与调拨时序,定义不足采购/足够现货共用入库后调拨及工厂实收｜本行：participant T as 调拨/运输,MATERIAL-005/006/009/011；ACT-S03-12/13,时序区分交付实收正确；主例组合项需保持同样责任分段,F04, participant T as 调拨/运输,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,190,05. 流程、状态与时序 / 05.4 采购、入库与调拨时序,定义不足采购/足够现货共用入库后调拨及工厂实收｜本行：participant F as 目标工厂,MATERIAL-005/006/009/011；ACT-S03-12/13,时序区分交付实收正确；主例组合项需保持同样责任分段,F04, participant F as 目标工厂,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,191,05. 流程、状态与时序 / 05.4 采购、入库与调拨时序,定义不足采购/足够现货共用入库后调拨及工厂实收｜本行：alt 已分配合格库存不足,MATERIAL-005/006/009/011；ACT-S03-12/13,时序区分交付实收正确；主例组合项需保持同样责任分段,F04, alt 已分配合格库存不足,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,192,05. 流程、状态与时序 / 05.4 采购、入库与调拨时序,定义不足采购/足够现货共用入库后调拨及工厂实收｜本行：D->>P: 仅缺口数量创建采购单,MATERIAL-005/006/009/011；ACT-S03-12/13,时序区分交付实收正确；主例组合项需保持同样责任分段,F04, D->>P: 仅缺口数量创建采购单,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,193,05. 流程、状态与时序 / 05.4 采购、入库与调拨时序,定义不足采购/足够现货共用入库后调拨及工厂实收｜本行：P->>W: 分批到仓，保留采购明细和物流批次,MATERIAL-005/006/009/011；ACT-S03-12/13,时序区分交付实收正确；主例组合项需保持同样责任分段,F04, P->>W: 分批到仓，保留采购明细和物流批次,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,194,05. 流程、状态与时序 / 05.4 采购、入库与调拨时序,定义不足采购/足够现货共用入库后调拨及工厂实收｜本行：W->>W: 分批验收、入库；不足与不合格另记,MATERIAL-005/006/009/011；ACT-S03-12/13,时序区分交付实收正确；主例组合项需保持同样责任分段,F04, W->>W: 分批验收、入库；不足与不合格另记,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,195,05. 流程、状态与时序 / 05.4 采购、入库与调拨时序,定义不足采购/足够现货共用入库后调拨及工厂实收｜本行：else 已分配合格库存足够,MATERIAL-005/006/009/011；ACT-S03-12/13,时序区分交付实收正确；主例组合项需保持同样责任分段,F04, else 已分配合格库存足够,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,196,05. 流程、状态与时序 / 05.4 采购、入库与调拨时序,定义不足采购/足够现货共用入库后调拨及工厂实收｜本行：D->>W: 确认本任务可调拨数量,MATERIAL-005/006/009/011；ACT-S03-12/13,时序区分交付实收正确；主例组合项需保持同样责任分段,F04, D->>W: 确认本任务可调拨数量,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,197,05. 流程、状态与时序 / 05.4 采购、入库与调拨时序,定义不足采购/足够现货共用入库后调拨及工厂实收｜本行：end,MATERIAL-005/006/009/011；ACT-S03-12/13,时序区分交付实收正确；主例组合项需保持同样责任分段,F04, end,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,198,05. 流程、状态与时序 / 05.4 采购、入库与调拨时序,定义不足采购/足够现货共用入库后调拨及工厂实收｜本行：W->>T: 调拨需求→安排→实际出库,MATERIAL-005/006/009/011；ACT-S03-12/13,时序区分交付实收正确；主例组合项需保持同样责任分段,F04, W->>T: 调拨需求→安排→实际出库,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,199,05. 流程、状态与时序 / 05.4 采购、入库与调拨时序,定义不足采购/足够现货共用入库后调拨及工厂实收｜本行：T->>F: 到厂交付,MATERIAL-005/006/009/011；ACT-S03-12/13,时序区分交付实收正确；主例组合项需保持同样责任分段,F04, T->>F: 到厂交付,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
